userId,recommendId
1.0,7460.0
1.0,2843.0
1.0,7099.0
1.0,34437.0
1.0,170705.0
1.0,44555.0
1.0,27266.0
1.0,31410.0
1.0,3462.0
1.0,714.0
1.0,6016.0
1.0,1281.0
1.0,6440.0
1.0,7327.0
1.0,6350.0
1.0,7115.0
1.0,8033.0
1.0,1619.0
1.0,7396.0
1.0,3307.0
1.0,7323.0
1.0,5690.0
1.0,52952.0
1.0,9010.0
1.0,665.0
1.0,55247.0
1.0,8014.0
1.0,2360.0
1.0,2931.0
1.0,5617.0
1.0,26776.0
1.0,27741.0
1.0,4848.0
1.0,1260.0
1.0,6433.0
1.0,7156.0
1.0,3089.0
1.0,60766.0
1.0,6301.0
1.0,3949.0
1.0,1809.0
1.0,55442.0
1.0,55280.0
1.0,4973.0
1.0,1273.0
1.0,6870.0
1.0,3246.0
1.0,6214.0
1.0,7371.0
1.0,2351.0
2.0,8778.0
2.0,3987.0
2.0,4155.0
2.0,74.0
2.0,5527.0
2.0,4795.0
2.0,1018.0
2.0,8008.0
2.0,3061.0
2.0,1006.0
2.0,7614.0
2.0,49524.0
2.0,36276.0
2.0,2227.0
2.0,50160.0
2.0,4187.0
2.0,1353.0
2.0,26965.0
2.0,43460.0
2.0,6579.0
2.0,2996.0
2.0,7050.0
2.0,1937.0
2.0,8492.0
2.0,2927.0
2.0,7297.0
2.0,116.0
2.0,934.0
2.0,5415.0
2.0,7618.0
2.0,3211.0
2.0,5873.0
2.0,4476.0
2.0,6584.0
2.0,7888.0
2.0,4801.0
2.0,668.0
2.0,42018.0
2.0,8521.0
2.0,8482.0
2.0,7883.0
2.0,6732.0
2.0,3093.0
2.0,2205.0
2.0,2847.0
2.0,8121.0
2.0,4976.0
2.0,1936.0
2.0,3971.0
2.0,1545.0
3.0,113345.0
3.0,91660.0
3.0,7562.0
3.0,71910.0
3.0,58826.0
3.0,26391.0
3.0,93598.0
3.0,80162.0
3.0,27426.0
3.0,79868.0
3.0,160341.0
3.0,102802.0
3.0,97988.0
3.0,100810.0
3.0,27778.0
3.0,48150.0
3.0,114707.0
3.0,82641.0
3.0,103085.0
3.0,113780.0
3.0,88327.0
3.0,93193.0
3.0,61692.0
3.0,27746.0
3.0,112727.0
3.0,6009.0
3.0,130050.0
3.0,27491.0
3.0,147662.0
3.0,47937.0
3.0,97701.0
3.0,4497.0
3.0,160836.0
3.0,73676.0
3.0,102070.0
3.0,73741.0
3.0,63768.0
3.0,105801.0
3.0,7202.0
3.0,139511.0
3.0,71341.0
3.0,75389.0
3.0,139655.0
3.0,107436.0
3.0,26498.0
3.0,142366.0
3.0,56620.0
3.0,3945.0
3.0,122884.0
3.0,107997.0
4.0,6301.0
4.0,6774.0
4.0,6063.0
4.0,522.0
4.0,6440.0
4.0,735.0
4.0,7132.0
4.0,47465.0
4.0,6662.0
4.0,5291.0
4.0,3424.0
4.0,3246.0
4.0,1611.0
4.0,4754.0
4.0,2730.0
4.0,2318.0
4.0,1594.0
4.0,27741.0
4.0,1178.0
4.0,5690.0
4.0,3504.0
4.0,3468.0
4.0,52952.0
4.0,3038.0
4.0,1260.0
4.0,1273.0
4.0,1300.0
4.0,6552.0
4.0,909.0
4.0,5530.0
4.0,3735.0
4.0,5628.0
4.0,2691.0
4.0,4211.0
4.0,4738.0
4.0,4378.0
4.0,4640.0
4.0,3134.0
4.0,3198.0
4.0,2022.0
4.0,7013.0
4.0,2966.0
4.0,3006.0
4.0,4546.0
4.0,1635.0
4.0,4345.0
4.0,7698.0
4.0,1189.0
4.0,2130.0
4.0,96488.0
5.0,27722.0
5.0,6063.0
5.0,52952.0
5.0,6301.0
5.0,96488.0
5.0,3943.0
5.0,174055.0
5.0,50804.0
5.0,7981.0
5.0,735.0
5.0,1178.0
5.0,6440.0
5.0,6774.0
5.0,77455.0
5.0,85774.0
5.0,7460.0
5.0,47465.0
5.0,1273.0
5.0,26242.0
5.0,46572.0
5.0,522.0
5.0,4437.0
5.0,5530.0
5.0,8914.0
5.0,5690.0
5.0,6662.0
5.0,7587.0
5.0,7115.0
5.0,5646.0
5.0,1209.0
5.0,3521.0
5.0,3424.0
5.0,3246.0
5.0,6001.0
5.0,3425.0
5.0,163645.0
5.0,3925.0
5.0,7132.0
5.0,4640.0
5.0,5915.0
5.0,4450.0
5.0,7419.0
5.0,4902.0
5.0,4020.0
5.0,965.0
5.0,5628.0
5.0,5291.0
5.0,4378.0
5.0,6867.0
5.0,3553.0
6.0,4239.0
6.0,6711.0
6.0,5669.0
6.0,3000.0
6.0,4720.0
6.0,4979.0
6.0,30707.0
6.0,7147.0
6.0,5618.0
6.0,44195.0
6.0,6870.0
6.0,8464.0
6.0,4023.0
6.0,2291.0
6.0,46578.0
6.0,30812.0
6.0,41997.0
6.0,3751.0
6.0,7090.0
6.0,1682.0
6.0,8784.0
6.0,3897.0
6.0,47610.0
6.0,5971.0
6.0,40819.0
6.0,46976.0
6.0,46723.0
6.0,3408.0
6.0,4027.0
6.0,30793.0
6.0,33166.0
6.0,3967.0
6.0,2340.0
6.0,39183.0
6.0,4022.0
6.0,44199.0
6.0,5995.0
6.0,5810.0
6.0,3911.0
6.0,4014.0
6.0,5816.0
6.0,30749.0
6.0,26662.0
6.0,37729.0
6.0,4896.0
6.0,4995.0
6.0,4310.0
6.0,31658.0
6.0,4963.0
6.0,4246.0
7.0,6460.0
7.0,6461.0
7.0,678.0
7.0,1238.0
7.0,4021.0
7.0,1964.0
7.0,2747.0
7.0,2917.0
7.0,3204.0
7.0,523.0
7.0,2346.0
7.0,3445.0
7.0,7123.0
7.0,1295.0
7.0,3576.0
7.0,85.0
7.0,2349.0
7.0,1392.0
7.0,1132.0
7.0,3813.0
7.0,4178.0
7.0,3062.0
7.0,2956.0
7.0,456.0
7.0,4406.0
7.0,942.0
7.0,3221.0
7.0,3529.0
7.0,1131.0
7.0,2648.0
7.0,1056.0
7.0,1346.0
7.0,1648.0
7.0,2988.0
7.0,1395.0
7.0,4605.0
7.0,1150.0
7.0,2731.0
7.0,3068.0
7.0,2024.0
7.0,3741.0
7.0,3091.0
7.0,1924.0
7.0,1480.0
7.0,1192.0
7.0,3732.0
7.0,3685.0
7.0,334.0
7.0,541.0
7.0,2344.0
8.0,3943.0
8.0,7587.0
8.0,7460.0
8.0,61236.0
8.0,8838.0
8.0,4794.0
8.0,7419.0
8.0,6214.0
8.0,714.0
8.0,7115.0
8.0,6001.0
8.0,32898.0
8.0,58425.0
8.0,1273.0
8.0,55280.0
8.0,27722.0
8.0,2925.0
8.0,60766.0
8.0,3925.0
8.0,1232.0
8.0,1209.0
8.0,1279.0
8.0,1202.0
8.0,7206.0
8.0,49932.0
8.0,26578.0
8.0,97.0
8.0,64993.0
8.0,2810.0
8.0,3415.0
8.0,56782.0
8.0,1289.0
8.0,3553.0
8.0,7063.0
8.0,7209.0
8.0,123.0
8.0,27563.0
8.0,4437.0
8.0,27773.0
8.0,66371.0
8.0,134170.0
8.0,8656.0
8.0,69134.0
8.0,86320.0
8.0,168250.0
8.0,26131.0
8.0,6063.0
8.0,3089.0
8.0,3266.0
8.0,134214.0
9.0,1704.0
9.0,1961.0
9.0,1682.0
9.0,4226.0
9.0,3996.0
9.0,4027.0
9.0,1246.0
9.0,2324.0
9.0,2329.0
9.0,3949.0
9.0,3147.0
9.0,7361.0
9.0,1721.0
